etp_veg,bloco,utm-x,utm-y,pH_H2O_sA,pH_CaCl2_sA,P_resina_sA,K_trocavel_sA,MO_sA,Ca_sA,Zn_sA,B_sA,Mn_sA,Fe_sA,Na_sA,S_sA,Mg_sA,pH_H2O_sB,pH_CaCl2_sB,P_resina_sB,K_trocavel_sB,MO_sB,Ca_sB,Zn_sB,B_sB,Mn_sB,Fe_sB,Na_sB,S_sB,Mg_sB,Elementos_baixo_sA,Elementos_baixo_sB,ndvi,savi,gli,tx_ocupacao,status_term
Etapa 2 - Inicio da fase reprodutiva,44,776921.9516232907,8292906.324913788,6.4,,42.53,0.11,2.66,4.54,5.97,0.97,1.11,37.47,6.43,,1.24,6.2,,14.57,0.1,1.72,2.03,1.84,0.85,1.11,29.72,7.11,,0.69,['Mn'],['Mn'],0.90839684009552,0.6569455862045288,0.4264743626117706,0.9790687466366632,baixa
Etapa 2 - Inicio da fase reprodutiva,45,776855.9964438214,8292843.349014252,6.5,,49.72,0.15,2.85,4.39,6.37,1.72,1.11,32.48,7.24,,1.15,6.1,,14.51,0.12,1.98,2.05,2.26,1.47,1.11,31.44,6.94,,0.69,['Mn'],['Mn'],0.8241184949874878,0.6116330027580261,0.3713098168373108,0.6375881653221869,baixa
Etapa 2 - Inicio da fase reprodutiva,46,777176.7604133518,8293230.473769219,6.6,,42.22,0.08,2.32,4.58,5.53,1.24,1.11,37.02,6.93,,1.31,6.3,,6.25,0.07,1.74,2.13,1.72,0.81,1.11,35.83,6.84,,0.69,['Mn'],"['K_trocavel', 'Mn']",0.907638132572174,0.6288292407989502,0.4177502393722534,0.9131212010481108,baixa
Etapa 2 - Inicio da fase reprodutiva,47,777097.7378241856,8293169.192202646,6.6,,30.59,0.14,2.77,5.42,5.46,0.83,1.11,35.65,7.04,,1.3,6.2,,19.58,0.1,2.26,2.06,2.04,0.7,1.11,38.99,6.66,,0.68,['Mn'],['Mn'],0.9119188189506532,0.6390606760978699,0.4258472621440887,0.9637865335260348,baixa
Etapa 2 - Inicio da fase reprodutiva,48,777018.7152350196,8293107.910636076,6.5,,61.62,0.29,3.04,6.36,6.46,1.41,1.11,31.02,9.69,,1.57,6.2,,12.81,0.15,1.85,1.6,1.78,1.09,1.11,35.34,6.6,,0.54,['Mn'],['Mn'],0.9129119515419006,0.6460232734680176,0.4319663941860199,1.0,baixa
Etapa 2 - Inicio da fase reprodutiva,49,776940.3389066029,8293046.526751273,6.6,,40.29,0.15,2.78,5.41,6.68,1.15,1.11,29.34,7.51,,1.42,6.0,,4.92,0.08,1.68,1.17,1.09,1.19,1.11,31.18,6.25,,0.34,['Mn'],"['Mg', 'Mn']",0.890557050704956,0.6526851654052734,0.414782166481018,0.897165298385647,baixa
Etapa 2 - Inicio da fase reprodutiva,50,776879.6480827129,8292977.154535684,5.4,,10.94,0.26,2.49,1.58,3.7,1.42,1.14,51.91,5.06,,0.53,6.0,,65.27,0.43,2.77,4.01,6.45,1.41,1.11,32.53,12.27,,1.19,"['pH_H2O', 'Mn']",['Mn'],0.8135350346565247,0.6206219792366028,0.3666586279869079,0.6633920553002972,baixa
Etapa 2 - Inicio da fase reprodutiva,51,777117.6285203915,8293307.62702215,6.7,,78.7,0.12,2.55,5.38,6.36,1.09,1.11,36.34,6.97,,1.35,6.3,,7.84,0.07,1.77,2.53,1.53,0.96,1.11,35.83,6.34,,0.83,['Mn'],"['K_trocavel', 'Mn']",0.8018701076507568,0.5680809617042542,0.3528768122196197,0.4793263440935692,baixa
Etapa 2 - Inicio da fase reprodutiva,52,777043.4805223201,8293242.335905791,5.9,,31.46,0.12,2.62,4.11,4.89,0.88,1.28,41.61,6.42,,1.33,5.6,,5.46,0.12,1.94,1.09,0.95,1.06,1.11,50.21,6.24,,0.39,['Mn'],"['pH_H2O', 'Mg', 'Mn']",0.8245956897735596,0.5987334847450256,0.3656614422798157,0.574065602725134,baixa
Etapa 2 - Inicio da fase reprodutiva,53,776974.3710164293,8293173.122972502,6.3,,18.22,0.23,2.46,3.84,5.17,1.07,1.11,40.24,6.08,,1.12,5.5,,2.69,0.14,1.7,0.76,0.91,0.97,1.11,43.95,6.74,,0.26,['Mn'],"['pH_H2O', 'Mg', 'Mn']",0.8189347386360168,0.6056369543075562,0.3662006855010986,0.607418715918731,baixa
Etapa 2 - Inicio da fase reprodutiva,54,776918.7991762616,8293110.160872483,6.35,,30.79,0.12,2605,4435,5085,0.74,1.11,39.62,6.19,,1125,5.6,,5195,0.11,1625,0.88,955,0.92,1.11,42825,5725,,0.33,['Mn'],"['pH_H2O', 'Mg', 'Mn']",0.6720441579818726,0.4981414973735809,0.2744629681110382,0.24823885987949196,baixa
